State,Year,18-20,20-24,25-34,35-44,45-54,55-59,60-64,65-74,75-84,Candidate
 New Jersey,2008,2,1,1,1,1,1,1,1,1,Republican
 New Jersey,2020,0,0,0,0,0,0,0,0,0,Democrat
 New Jersey,2022,2,1,1,1,1,1,1,1,1,Republican
 New Jersey,2012,2,1,1,1,1,1,1,1,1,Democrat
 New Jersey,2008,2,1,1,1,1,1,1,1,1,Democrat
 New Jersey,2020,0,0,0,0,0,0,0,0,0,Republican
 New Jersey,2016,2,1,1,1,1,1,1,1,1,Democrat
 New Jersey,2016,2,1,1,1,1,1,1,1,1,Republican
 New Hampshire,2020,0,0,0,0,0,0,0,0,0,Republican
 New Hampshire,2016,2,1,1,1,1,1,1,1,1,Republican
 New Hampshire,2012,2,1,1,1,1,1,1,1,1,Republican
 New Hampshire,2008,2,1,1,1,1,1,1,1,1,Republican
 New Hampshire,2022,2,1,1,1,1,1,1,1,1,Republican
 New Hampshire,2008,2,1,1,1,1,1,1,1,1,Democrat
 New Hampshire,2012,2,1,1,1,1,1,1,1,1,Democrat
 New Hampshire,2016,2,1,1,1,1,1,1,1,1,Democrat
 New Hampshire,2020,0,0,0,0,0,0,0,0,0,Democrat
 New Hampshire,2022,2,1,1,1,1,1,1,1,1,Democrat
 Nevada,2016,2,1,1,1,1,1,1,1,1,Democrat
 Nevada,2008,2,1,1,1,1,1,1,1,1,Democrat
 Nevada,2020,0,0,0,0,0,0,0,0,0,Democrat
 Nevada,2022,2,1,1,1,1,1,1,1,1,Democrat
 Nevada,2008,2,1,1,1,1,1,1,1,1,Republican
 Nevada,2012,2,1,1,1,1,1,1,1,1,Republican
 Nevada,2016,2,1,1,1,1,1,1,1,1,Republican
 Nevada,2020,0,0,0,0,0,0,0,0,0,Republican
 Nevada,2022,2,1,1,1,1,1,1,1,1,Republican
 Nevada,2012,2,1,1,1,1,1,1,1,1,Democrat
 Nebraska,2016,2,1,1,1,1,1,1,1,1,Democrat
 Nebraska,2020,0,0,0,0,0,0,0,0,0,Democrat
 Nebraska,2008,2,1,1,1,1,1,1,1,1,Democrat
 Nebraska,2012,2,1,1,1,1,1,1,1,1,Democrat
 Nebraska,2022,2,1,1,1,1,1,1,1,1,Democrat
 Nebraska,2008,2,1,1,1,1,1,1,1,1,Republican
 Nebraska,2012,2,1,1,1,1,1,1,1,1,Republican
 Nebraska,2016,2,1,1,1,1,1,1,1,1,Republican
 Nebraska,2020,0,0,0,0,0,0,0,0,0,Republican
 Nebraska,2022,2,1,1,1,1,1,1,1,1,Republican
 Montana,2012,2,1,1,1,1,1,1,1,1,Republican
 Montana,2022,2,1,1,1,1,1,1,1,1,Democrat
 Montana,2020,0,0,0,0,0,0,0,0,0,Democrat
 Montana,2016,2,1,1,1,1,1,1,1,1,Democrat
 Montana,2012,2,1,1,1,1,1,1,1,1,Democrat
 Montana,2008,2,1,1,1,1,1,1,1,1,Democrat
